"TimeCreated","LogName","Id","ProviderName","LevelDisplayName","Message","CrashIndicator"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.1 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.2 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.2 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.2 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.2 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.2 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.2 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.2 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.2 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.2 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:28:38 AM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/28/2026 12:28:38 AM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/28/2026 12:28:38 AM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/28/2026 12:30:39 AM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/28/2026 12:32:39 AM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/28/2026 12:32:39 AM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/28/2026 12:53:42 AM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/28/2026 12:53:42 AM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/28/2026 12:53:42 AM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/28/2026 12:55:43 AM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/28/2026 12:57:43 AM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/28/2026 12:57:43 AM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/28/2026 1:04:45 AM","System","1","Microsoft-Windows-FilterManager","Information","File System Filter 'FileInfo' (Version 10.0, ?2093?-?04?-?01T20:29:43.000000000Z) unloaded successfully.","False"
"8/28/2026 1:05:00 AM","System","1014","Microsoft-Windows-DNS-Client","Warning","Name resolution for the name mccoys-zs2.cloud.tanium.com timed out after none of the configured DNS servers responded. Client PID 4068.","False"
"8/28/2026 1:05:09 AM","System","6","Microsoft-Windows-FilterManager","Information","File System Filter 'FileInfo' (10.0, ?2093?-?04?-?01T20:29:43.000000000Z) has successfully loaded and registered with Filter Manager.","False"
